state_name,mmr_rate,year
MICHIGAN,90.9,2009
MINNESOTA,93.6,2009
MISSISSIPPI,91.6,2009
MISSOURI,88.8,2009
MONTANA,87.2,2009
NEBRASKA,93.6,2009
NEVADA,86.3,2009
NEW HAMPSHIRE,92,2009
NEW JERSEY,86.9,2009
NEW MEXICO,89.1,2009
NEW YORK,90.3,2009
NORTH CAROLINA,92.9,2009
NORTH DAKOTA,94.4,2009
OHIO,89.4,2009
OKLAHOMA,94.2,2009
OREGON,88.1,2009
PENNSYLVANIA,89.3,2009
RHODE ISLAND,90.8,2009
SOUTH CAROLINA,86.9,2009
SOUTH DAKOTA,92.8,2009
TENNESSEE,94.7,2009
TEXAS,88.5,2009
UTAH,91.3,2009
VERMONT,91.9,2009
VIRGINIA,85.8,2009
WASHINGTON,90.8,2009
WEST VIRGINIA,89.2,2009
WISCONSIN,94.4,2009
WYOMING,91.3,2009
ALABAMA,95.4,2010
ALASKA,88.4,2010
ARIZONA,87.7,2010
ARKANSAS,90.5,2010
CALIFORNIA,91.4,2010
COLORADO,89.3,2010
CONNECTICUT,97.8,2010
DELAWARE,94,2010
DISTRICT OF COLUMBIA,94.7,2010
FLORIDA,94.1,2010
GEORGIA,91.5,2010
HAWAII,93.2,2010
IDAHO,87.2,2010
ILLINOIS,90.5,2010
INDIANA,92.3,2010
IOWA,93.8,2010
KANSAS,90,2010
KENTUCKY,89.5,2010
LOUISIANA,89.7,2010
MAINE,90.9,2010
MARYLAND,90.5,2010
MASSACHUSETTS,92.3,2010
MICHIGAN,91.1,2010
MINNESOTA,92.7,2010
MISSISSIPPI,93.8,2010
MISSOURI,90.4,2010
MONTANA,85.1,2010
NEBRASKA,94.2,2010
NEVADA,87,2010
NEW HAMPSHIRE,95.8,2010
NEW JERSEY,86.1,2010
NEW MEXICO,88.8,2010
NEW YORK,89.3,2010
NORTH CAROLINA,94.5,2010
NORTH DAKOTA,92.6,2010
OHIO,93.6,2010
OKLAHOMA,91,2010
OREGON,92.8,2010
PENNSYLVANIA,92.3,2010
RHODE ISLAND,95.8,2010
SOUTH CAROLINA,91.7,2010
SOUTH DAKOTA,92.1,2010
TENNESSEE,93.9,2010
TEXAS,91.8,2010
UTAH,85.5,2010
VERMONT,92.7,2010
VIRGINIA,92.3,2010
WASHINGTON,89.8,2010
WEST VIRGINIA,92,2010
WISCONSIN,93.2,2010
WYOMING,92.5,2010
ALABAMA,94,2011
ALASKA,90.8,2011
ARIZONA,86.7,2011
ARKANSAS,93.7,2011
CALIFORNIA,91,2011
COLORADO,88.4,2011
CONNECTICUT,95,2011
DELAWARE,90.6,2011
DISTRICT OF COLUMBIA,93.5,2011
FLORIDA,90.8,2011
GEORGIA,94.1,2011
HAWAII,94.2,2011
IDAHO,89.5,2011
ILLINOIS,90.8,2011
INDIANA,90.6,2011
IOWA,86.7,2011
KANSAS,91,2011
KENTUCKY,91.4,2011
LOUISIANA,92.6,2011
MAINE,90.3,2011
MARYLAND,95.2,2011
MASSACHUSETTS,93.1,2011
MICHIGAN,87.6,2011
MINNESOTA,96,2011
MISSISSIPPI,89.6,2011
MISSOURI,88.2,2011
MONTANA,87.8,2011
NEBRASKA,95.3,2011
NEVADA,90.5,2011
NEW HAMPSHIRE,92,2011
NEW JERSEY,91.3,2011
NEW MEXICO,93.1,2011
NEW YORK,91,2011
NORTH CAROLINA,92.3,2011
NORTH DAKOTA,95.8,2011
OHIO,93.3,2011
OKLAHOMA,94,2011
OREGON,90.6,2011
PENNSYLVANIA,92.8,2011
RHODE ISLAND,96.6,2011
SOUTH CAROLINA,89.3,2011
SOUTH DAKOTA,89.2,2011
TENNESSEE,91.1,2011
TEXAS,94.3,2011
UTAH,88.8,2011
VERMONT,95.3,2011
VIRGINIA,89,2011
WASHINGTON,89.3,2011
WEST VIRGINIA,85.8,2011
WISCONSIN,94.9,2011
WYOMING,85.6,2011
ALABAMA,93.1,2012
ALASKA,86.2,2012
ARIZONA,88.3,2012
ARKANSAS,92.3,2012
CALIFORNIA,91.5,2012
COLORADO,91.5,2012
CONNECTICUT,94.8,2012
DELAWARE,94.4,2012
DISTRICT OF COLUMBIA,93,2012
FLORIDA,91,2012
GEORGIA,91.9,2012
HAWAII,95,2012
IDAHO,93.3,2012
ILLINOIS,91.6,2012
INDIANA,90,2012
IOWA,93.3,2012
KANSAS,88.5,2012
KENTUCKY,89.2,2012
LOUISIANA,90.5,2012
MAINE,91.2,2012
MARYLAND,92.5,2012
MASSACHUSETTS,93.7,2012
MICHIGAN,91.4,2012
MINNESOTA,90.1,2012
MISSISSIPPI,93.4,2012
MISSOURI,92.7,2012
MONTANA,91.5,2012
NEBRASKA,89,2012
NEVADA,89.8,2012
NEW HAMPSHIRE,93.7,2012
NEW JERSEY,94.8,2012
NEW MEXICO,88.8,2012
NEW YORK,90.2,2012
NORTH CAROLINA,89,2012
NORTH DAKOTA,90.6,2012
OHIO,90.3,2012
OKLAHOMA,90,2012
OREGON,87.3,2012
PENNSYLVANIA,87,2012
RHODE ISLAND,94.3,2012
SOUTH CAROLINA,93.2,2012
SOUTH DAKOTA,93.3,2012
TENNESSEE,92.2,2012
TEXAS,89.7,2012
UTAH,87.3,2012
VERMONT,91.7,2012
VIRGINIA,94.3,2012
WASHINGTON,84.8,2012
WEST VIRGINIA,84.6,2012
WISCONSIN,89.3,2012
WYOMING,91.2,2012
ALABAMA,89.7,2013
ALASKA,90.5,2013
ARIZONA,91.4,2013
ARKANSAS,88.3,2013
CALIFORNIA,90.7,2013
COLORADO,86,2013
CONNECTICUT,91.4,2013
DELAWARE,94.8,2013
DISTRICT OF COLUMBIA,96.2,2013
FLORIDA,93.4,2013
GEORGIA,93.9,2013
HAWAII,92.8,2013
IDAHO,91.1,2013
ILLINOIS,91.4,2013
INDIANA,92,2013
IOWA,94.5,2013
